disease	efo_iri
alzheimer's disease (left hippocampal grey matter density)	EFO_0000249
cognitive response of healthy volunteers to topiramate treatment as measure by the color-word cognitive test	EFO_0000000
microalbuminuria in non-diabetics	EFO_0004285
claw toe	N/A
vaginitis and vulvovaginitis	N/A
lung cancer with no family history	EFO_0001071
stroke of unknown etiology	EFO_0000712
tanning ability	EFO_0004279
grass sensitization	N/A
restless legs syndrome	EFO_0004270
other rheumatic heart disease	EFO_1001161
coronary heart disease (chd)	EFO_0001645
2 hour insulin sensitivity index	EFO_0002614
thyroid volume	HP_0000820
crohn's disease-related phenotypes	EFO_0000384
temperament in bipolar disorder (irritable)	EFO_0000289
bipolar disorder with mood-incongruent psychosis	EFO_0000289
immune reponse to smallpox (secreted il-12p40)	N/A
body mass index (interaction)	EFO_0001073
major depressive disorder (males)	EFO_0003761
fasting proinsulin levels non-diabetics (women)	EFO_0002614
platelet rich plasma (prp) colllagen (col)-secretion 1 ug/ml	N/A
height (adult males)	EFO_0004339
adverse response to chemotherapy in breast cancer (alopecia)	EFO_0000000
chronic alcohol-related pancreatitis	EFO_0000278
plasma fibrinogen (females)	N/A
height tails (upper and lower 5th percentiles)	EFO_0004339
serum vegfr2 concentration	N/A
congenital anomalies of limbs	N/A
triglycerides by nmr lipoprotein fraction in fasting sample	N/A
multiple myeloma	EFO_0001378
serum alpha1-antitrypsin levels	Orphanet_60
substance addiction and disorders	EFO_0003890
asperger disorder	EFO_0003757
tuberculosis	Orphanet_3389
lifespan	GO_0007568
hdl cholesterol (log hdl-c)	Orphanet_425
esophageal squamous-cell carcinoma in smokers and drinkers (esophageal cancer)	EFO_1000055
response to tocilizumab for the treatment of rheumatoid arthritis (change in disease activity score) in rf individuals	N/A
hair color	EFO_0003924
chronic kidney disease and serum creatinine levels	EFO_0003884
mean telomere length	N/A
jaundice	HP_0000952
age at death with kuru exposure	GO_0007568
lipoprotein-associated phospholipase a2 activity (lp-pla2)	EFO_0000319
thyroid peroxidase antibody positivity	HP_0000820
sporadic thoracic aortic aneurysms and dissections with bicuspid aortic valve	EFO_0004282
skin 2-naphthyl-keratin adduct (2nka) levels in workers exposed to naphthalene	EFO_0000000
gallbladder disease	EFO_0003832
cortical volumetric bone mineral density (bmd)	N/A
vitamin b6	HP_0008326
fasting serum eotaxin (pg/ml) in children	N/A
blood trace element (zn levels)	EFO_1001067
platelet aggregation in response to adp 2um	N/A
alcohol consumption (male)	EFO_0004329
coronary artery disease (cad) (females)	EFO_0000378
juvenile idiopathic arthritis	EFO_0002609
vascular dementia (female)	Orphanet_371439
platelet rich plasma (prp) ristocetin-lta 1.2 mg/ml	N/A
recalcitrant atopic dermatitis	EFO_0000274
visceral fat	N/A
asthma (toluene diisocyanate-induced)	EFO_0000270
exercise participation	N/A
macronutrient intake: fats	EFO_0003939
infant length	EFO_0004339
iron deficiency (serum transferrin receptor)	HP_0001891
severe diabetic retinopathy in type 1 diabetes (without nephropathy)	EFO_0003770
alopecia areata with family history	EFO_0004192
alzheimer's disease (apoe4 carriers)	EFO_0000249
"platelet aggregation to adp post-aspirin, in african ancestry"	HP_0004936
colorectal tumors	EFO_0000365
nicotine dependence (smoking) (with local african versus european ancestry)	EFO_0003768
rheumatoid arthritis & related inflammatory polyarthropathies	EFO_0000685
cup-to-disc ratio (average)	EFO_0000516
trochanter bone mineral density (bmd)	N/A
epirubicin-induced leukopenia in breast cancer	EFO_0004233
fasting serum glucose (mg/dl) in children	N/A
pit-and-fissure caries	EFO_0003819
nonsyndromic striae distensae (stretch marks)	HP_0001065
vwf and fviii levels	N/A
red blood cell fatty acid levels	N/A
adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel)	EFO_0000000
"coronary artery disease (cad), without myocardial infarction"	EFO_0000378
ldl cholesterol response to statins (first post-treatment ldl cholesterol)	N/A
coronary artery lesions in kawasaki disease	EFO_0004246
random mental disorder. ignored for now	EFO_0000677
triglycerides (females)	EFO_0004211
beta-2 microglubulin plasma levels	N/A
subcortical brain region volumes	N/A
angioedema in response to angiotensin-converting enzyme inhibitor	EFO_0000000
sagittal craniosynostosis	Orphanet_1531
zinc levels	EFO_1001067
glioma (high-grade)	EFO_0000519
epilepsy (remission after treatment)	EFO_0000474
cardiovascular disease risk factors	EFO_0000319
biliary cirrhosis	HP_0002613
serum sodium	HP_0002902
plasma fibrin d-dimer levels	N/A
emphysema imaging phenotypes	N/A
anti-tnf treatment response in rheumatoid arthritis (by das-28 score change at 3 months)	N/A
"mean cell hemoglobin concentration (mchc), hemoglobin (hgb)"	EFO_0005803
hippocampal sclerosis	EFO_0005772
"bone mineral density (paediatric, skull)"	N/A
volumetric brain mri	N/A
cognitive response of healthy volunteers to topiramate treatment as measure by the trailsb cognitive test	EFO_0000000
lachrymal/salivary gland lesion in type 1 autoimmune pancreatitis	EFO_1001057
"lung function, forced expiratory volume in 1 second (fev1) percent predicted (in asthmatic participants)"	EFO_0003818
platelet aggregation in response to epinephrine ec50/2um	N/A
metabolite levels (pyroglutamine)	EFO_0003144
blood trace element (cu levels)	EFO_1001067
psychological test results: animals test	EFO_0003925
forced expiratory volume in 1 second (environmental interaction)	EFO_0003818
disorders of vitreous body	EFO_0003966
"anxiety, phobic and dissociative disorders"	EFO_0006788
hemorrhage from gastrointestinal ulcer	N/A
adenoma	EFO_0000232
spatial recognition memory	EFO_0003925
axial length	HP_0000483
circulating adiponectin levels	EFO_0000589
potassium levels	HP_0002153
free-to-total prostate-specific antigen (%fpsa) with intermediate tpsa levels (ng/ml)	EFO_0000673
total brain volume	N/A
ldl (oxidized)	HP_0010980
response to anti-tumor necrosis factor treatment of rheumatoid arthritis	N/A
lipoprotein a [lp(a)] levels in plasma	HP_0010980
dna repair capacity in cultured peripheral lymphocytes (bpde-damage host-cell reactivation testing) in lung cancer cases and controls (ever smokers)	N/A
schizophrenia versus bipolar disorder	EFO_0000692
platelet aggregation in response to adp	N/A
obsessive-compulsive disorder (ocd)	EFO_0004242
keloid	EFO_0004212
height	EFO_0004339
plasma estradiol concentration in women with breast cancer	EFO_0000305
abnormal movement	N/A
lapatinib-induced hepatotoxicity	EFO_0004228
brain structure (temporal lobe volume)	N/A
red wine liking	EFO_0004329
cortical structure (interaction)	N/A
height growth in women from ages 15-adult	N/A
chorioretinal scars	HP_0012424
plasma lipoprotein a (lp(a))	HP_0010980
sick sinus syndrome	Orphanet_166282
"pathological, developmental or recurrent dislocation"	HP_0001382
antitragus size	N/A
circulating sex hormone-binding globulin levels in non-postmenopausal hormone users	EFO_0001379
other peripheral nerve disorders	HP_0000759
sleep depth	N/A
pediatric areal bone mineral density (radius)	N/A
ldl cholesterol (with local african versus european ancestry)	HP_0003124
pc4 - femoral shaft stability	EFO_0003882
heart failure mortality among adults	EFO_0003144
delirium dementia and amnestic disorders	N/A
"keratitis, infectious"	HP_0000491
alzheimer's disease with psychotic symptoms (alzheimer's disease with psychotic symptoms v. alzheimer's disease without psychotic symptoms)	EFO_0000677
hba2 levels	EFO_0004272
serum creatinine estimated glomerular filtration rate (egfr) with hypertension	HP_0000083
expressive vocabulary in infants	N/A
breast cancer risk (brca1 class 1 mutations only)	EFO_0000305
fvii levels	Orphanet_327
periodic leg movements	EFO_0004270
campthothecin-induced neutropenia/leukopenia in cancer patients	N/A
congenital musculoskeletal deformities of spine	N/A
red blood cell count	HP_0001873
alcohol dependence (early age of onset)	EFO_0003829
triglycerides lipoprotein fraction	N/A
breast cancer in brca1 mutation carriers	EFO_0000305
mean platelet volume	N/A
retinal vascular changes and abnomalities	EFO_0003839
sodium levels	HP_0002902
waist hip ratio and recreational physical activity	N/A
disorders of cervical region	N/A
"infertility, male"	EFO_0004248
serum butyrylcarnitine	EFO_1001121
"nicotine dependence (smoking), current cigarettes/day in chronic obstructive pulmonary disease (copd)"	EFO_0003768
esophageal cancer (squamous cell)	EFO_1000055
postinflammatory pulmonary fibrosis	HP_0002206
tetralogy of fallot	HP_0001636
aspirin-exacerbated respiratory disease	HP_0012042
bipolar disorder (age of onset)	EFO_0000289
response to gemcitabine in pancreatic cancer	N/A
testicular dysfunction	N/A
methylation near hla-c in cerebellum	GO_0006306
hypertension in premenopausal women with short sleep duration	EFO_0000537
endoxifen sentivity (7 um)	N/A
plasma oleic acid	N/A
interferon alpha levels in systemic lupus erythematosus	EFO_0002690
lupus erythematosus	EFO_0003834
patient global impression scale of severity with quetiapine treatment of schizophrenia	EFO_0000692
spontaneous resolution of hepatitis c virus (hcv)	N/A
leprosy	EFO_0001054
ventricular fibrillation during acute myocardial infarction (mi)	EFO_0004287
tanning	EFO_0004279
femoral neck bone (buckling ratio)	EFO_0003964
response to tocilizumab for the treatment of rheumatoid arthritis (change in swollen joint count) in rf- individuals	N/A
circulating vitamin d levels in children with asthma	EFO_0003762
delayed encephalopathy in acute carbon monoxide poisoning	N/A
progressive supranuclear palsy	Orphanet_683
childhood acute lymphoblastic leukemia relapse	EFO_0000220
retinal edema and hypertensive retinopathy	EFO_1000977
lung cancer (asbestos exposure interaction)	EFO_0001071
male genital disorders	N/A
mean corpuscular volume (mcv)	EFO_0004272
"systolic blood pressure (sbp), 24 hour mean"	EFO_0000537
milk allergy	EFO_0007369
acenocoumarol maintenance dosage	EFO_0000000
type 2 diabetes with obesity	EFO_0001360
body mass index (bmi) in asthmatic adults	N/A
diet protein (%energy) in children	N/A
diabetic retinopathy	EFO_0003770
urinary albumin-to-creatinine ratio without diabetes	EFO_0004285
response to anti-tnf therapy in rheumatoid arthritis patients treated with adalimumab	N/A
"cognitive performance, attention and executive function"	N/A
cerivastatin-associated rhabdomyolysis	EFO_0000000
fviii activity	Orphanet_98878
cerebrospinal fluid levels of total tau protein (t-tau) (alzheimer's disease subjects)	N/A
white matter hyperintensity burden	HP_0002352
lung cancer (non-small cell lung cancer stage 1)	EFO_0001071
brain parenchymal volume (multiple sclerosis)	EFO_0003885
pc3 (reflecting medium frequencies relative to low and high)	N/A
"combined bone mineral density (bmd) phenotypes, femoral neck bone mineral density, trochanater bone mineral density, lumbar spine bone mineral density, gender differentiated in males"	N/A
"lung function, forced expiratory volume in 1 second (fev1) in ever smokers"	EFO_0003818
muscle weakness	HP_0001324
cup-to-disc ratio (taken at worst eye)	EFO_0000516
sphingolipid levels	Orphanet_79225
drug-induced liver injury-all mixed injury dili cases not due to flucloxacillin or amoxicillin/clavulanate	EFO_0004228
agreeableness	HP_0012075
age-related hearing impairment	EFO_0004238
stroke (large vessel stroke)	EFO_0000712
freckles_ vs. no freckles_	EFO_0004279
eur students <30 trailsa	EFO_0003925
eur students <30 trailsb	EFO_0003925
thoracic neuritis/radiculitis	N/A
soluble intercellular adhesion molecule 1 (icam-1)	GO_0006954
disturbance of skin sensation	N/A
free thyroxine (ft4)*	HP_0000820
response to serotonin reuptake inhibitors in major depressive disorder	N/A
peripheral artery disease	EFO_0004265
diet carbohydrate (g/d) in children	N/A
glioma (males)	EFO_0000326
airflow obstruction	N/A
ovarian reserve	HP_0008222
plasma n-terminal pro-brain natriuretic peptide (bnp)	N/A
chronic obstructive asthma	EFO_0000270
"platelet count (plt), red blood cell count (rbc), hematocrit (hct), mean cell hemoglobin concentration (mchc), neutrophil count, monocyte count, white blood cell count (wbc), mean cell hemoglobin (mch)"	EFO_0005803
inferotemporal rim area	EFO_0000516
adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)	EFO_0000000
amoxicillin-clavulanate drug induced liver injury	EFO_0004228
uric acid in plasma	EFO_0004274
coffee consumption	EFO_0004315
adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)	EFO_0000000
serum non-albumin protein	EFO_0005803
hdl cholesterol large lipoprotein fraction concentration	N/A
hdl cholesterol (mmol/l)	Orphanet_425
sex hormone-binding globulin levels	EFO_0001379
crohn's disease	EFO_0000384
chronic kidney disease (severe)	HP_0000083
lung cancer in current smokers	EFO_0001071
common variable immunodeficiency (cytopenias)	Orphanet_1572
depression and alcohol dependence	EFO_0003761
response to tocilizumab for the treatment of rheumatoid arthritis (change in health assessment questionnaire score measure at week 16)	N/A
psoriasis (cutaneous psoriasis)	EFO_0000676
cancer within the respiratory system	EFO_0003853
endometriosis	EFO_0001065
gender differences in serum glycine	N/A
disorders of binocular eye movements	N/A
antibody level in response to infection	N/A
il18 (females)	GO_0006954
alcohol behavior (binary alcohol dependence diagnosis)	EFO_0003829
left inferior lateral ventricle volume (cerebrospinal fluid biomarker status interaction)	N/A
crystallized intelligence (combination of multiple tests)	EFO_0004337
crohn's disease (need for surgery)	EFO_0000384
sclerosing cholangitis and ulcerative colitis (combined)	EFO_0004268
alzheimer's disease (late onset)	EFO_0000249
primary rhegmatogenous retinal detachment without high myopia	EFO_0005773
hallucinations	HP_0000738
early response to treatment in pediatric acute lymphoblastic leukemia treatment	N/A
response to fenofibrate	N/A
obesity with early age of onset	N/A
strabismus (not specified as paralytic)	HP_0000486
diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease	EFO_0000401
prothrombin antigen	Orphanet_325
paired associates learning total errors 8 patterns	EFO_0003925
circulating estradiol levels in postmenopausal hormone users	EFO_0001379
vitiligo (non-segmental)	EFO_0004208
end-stage coagulation	N/A
"nicotine dependence (smoking), smoking cessation (with bupropion hydrochloride)"	EFO_0004319
carotid-brachial pulse wave velocity	EFO_0003914
femoral neck bone periosteal diameter	EFO_0003882
peak concentrations of active metabolite of dabigatran etexilate after treatment with 150 mg dabigatran bid	EFO_0000000
